model_folder,ingredient_id,normalized_name,display_name,category_suggestion,train_count,val_count,test_count,needs_train_images,team_upload_path
ing_00187,187,청양고추나꽈리고추,청양고추나꽈리고추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00187/
ing_00188,188,생강가루,생강가루,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00188/
ing_00190,190,브로콜리,브로콜리,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00190/
ing_00191,191,숙주,숙주,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00191/
ing_00193,193,홀그레인머스타드,홀그레인머스타드,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00193/
ing_00196,196,황태채,황태채,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00196/
ing_00199,199,핫소스,핫소스,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00199/
ing_00200,200,청주,청주,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00200/
ing_00201,201,젓갈,젓갈,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00201/
ing_00206,206,카레,카레,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00206/
ing_00207,207,비엔나소시지,비엔나소시지,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00207/
ing_00208,208,깐 메추리알,깐 메추리알,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00208/
ing_00212,212,청양고추,청양고추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00212/
ing_00214,214,닭가슴살,닭가슴살,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00214/
ing_00216,216,견과류,견과류,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00216/
ing_00218,218,다진소고기,다진소고기,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00218/
ing_00220,220,범일 고추장,범일 고추장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00220/
ing_00223,223,참깨,참깨,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00223/
ing_00232,232,팽이버섯,팽이버섯,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00232/
ing_00233,233,전분가루,전분가루,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00233/
ing_00234,234,닭안심,닭안심,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00234/
ing_00240,240,미니 돈까스,미니 돈까스,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00240/
ing_00243,243,애호박 다진 것,애호박 다진 것,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00243/
ing_00245,245,대파 다진 것,대파 다진 것,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00245/
ing_00246,246,맛간장(진간장),맛간장(진간장),소스,0,0,0,Y,data_sources/team_uploads/train/ing_00246/
ing_00248,248,브로콜리 데친 것,브로콜리 데친 것,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00248/
